Rk,School,Prev,Chng,Conf
1,Connecticut,1,-,Big East
2,UCLA,2,-,Big Ten
3,South Carolina,3,-,SEC
4,Texas,4,-,SEC
5,Vanderbilt,7,2,SEC
6,Louisiana State,5,1,SEC
7,Michigan,8,1,Big Ten
8,Ohio State,9,1,Big Ten
9,Louisville,6,3,ACC
10,Oklahoma,11,1,SEC
11,Duke,17,6,ACC
12,Baylor,15,3,Big 12
13,Michigan State,12,1,Big Ten
14,Mississippi,13,1,SEC
15,Iowa,10,5,Big Ten
16,Texas Tech,18,2,Big 12
17,TCU,14,3,Big 12
18,Kentucky,16,2,SEC
19,West Virginia,20,1,Big 12
20,Maryland,22,2,Big Ten
21,North Carolina,25,4,ACC
22,Tennessee,19,3,SEC
23,Alabama,21,2,SEC
24,Princeton,23,1,Ivy
25,Washington,24,1,Big Ten
