year,team,conference,poll_week,rank,rank_numeric,table_id
2010,UConn,Big East,Pre,1.0,1,1
2010,Stanford,Pac-10,Pre,2.0,2,1
2010,Tennessee,SEC,Pre,6.0,6,1
2010,Xavier,A-10,Pre,9.0,9,1
2010,Duke,ACC,Pre,11.0,11,1
2010,Notre Dame,Big East,Pre,5.0,5,1
2010,Ohio State,Big Ten,Pre,3.0,3,1
2010,Texas A&M,Big 12,Pre,15.0,15,1
2010,Florida State,ACC,Pre,13.0,13,1
2010,Oklahoma,Big 12,Pre,20.0,20,1
2010,Baylor,Big 12,Pre,8.0,8,1
2010,Texas,Big 12,Pre,10.0,10,1
2010,LSU,SEC,Pre,7.0,7,1
2010,Georgia,SEC,Pre,16.0,16,1
2010,Michigan State,Big Ten,Pre,21.0,21,1
2010,Virginia,ACC,Pre,12.0,12,1
2010,Vanderbilt,SEC,Pre,22.0,22,1
2010,UNC,ACC,Pre,4.0,4,1
2010,Kansas,Big 12,Pre,19.0,19,1
2010,Arizona State,Pac-10,Pre,14.0,14,1
2010,California,Pac-10,Pre,17.0,17,1
2010,DePaul,Big East,Pre,17.0,17,1
2010,Mississippi State,SEC,Pre,25.0,25,1
2010,Louisville,Big East,Pre,23.0,23,1
2010,Middle Tennessee,Sun Belt,Pre,24.0,24,1
2010,UConn,Big East,Final,1.0,1,1
2010,Stanford,Pac-10,Final,2.0,2,1
2010,Tennessee,SEC,Final,3.0,3,1
2010,Nebraska,Big 12,Final,4.0,4,1
2010,Xavier,A-10,Final,5.0,5,1
2010,Duke,ACC,Final,6.0,6,1
2010,Notre Dame,Big East,Final,7.0,7,1
2010,Ohio State,Big Ten,Final,8.0,8,1
2010,Texas A&M,Big 12,Final,9.0,9,1
2010,West Virginia,Big East,Final,10.0,10,1
2010,Florida State,ACC,Final,11.0,11,1
2010,Oklahoma,Big 12,Final,12.0,12,1
2010,Georgetown,Big East,Final,13.0,13,1
2010,Baylor,Big 12,Final,14.0,14,1
2010,St. John's (NY),Big East,Final,15.0,15,1
2010,Iowa State,Big 12,Final,16.0,16,1
2010,Texas,Big 12,Final,17.0,17,1
2010,Gonzaga,WCC,Final,18.0,18,1
2010,Kentucky,SEC,Final,19.0,19,1
2010,Oklahoma State,Big 12,Final,20.0,20,1
2010,LSU,SEC,Final,21.0,21,1
2010,UCLA,Pac-10,Final,22.0,22,1
2010,Georgia,SEC,Final,23.0,23,1
2010,Michigan State,Big Ten,Final,24.0,24,1
2010,Hartford,AmEast,Final,25.0,25,1
2010,UConn,Big East,11/23,1.0,1,1
2010,Stanford,Pac-10,11/23,2.0,2,1
2010,Tennessee,SEC,11/23,6.0,6,1
2010,Xavier,A-10,11/23,9.0,9,1
2010,Duke,ACC,11/23,10.0,10,1
2010,Notre Dame,Big East,11/23,5.0,5,1
2010,Ohio State,Big Ten,11/23,3.0,3,1
2010,Texas A&M,Big 12,11/23,11.0,11,1
2010,Florida State,ACC,11/23,12.0,12,1
2010,Oklahoma,Big 12,11/23,20.0,20,1
2010,Baylor,Big 12,11/23,8.0,8,1
2010,Texas,Big 12,11/23,13.0,13,1
2010,LSU,SEC,11/23,7.0,7,1
2010,Georgia,SEC,11/23,14.0,14,1
2010,Michigan State,Big Ten,11/23,25.0,25,1
2010,Virginia,ACC,11/23,15.0,15,1
2010,Vanderbilt,SEC,11/23,21.0,21,1
2010,UNC,ACC,11/23,4.0,4,1
2010,Kansas,Big 12,11/23,18.0,18,1
2010,Arizona State,Pac-10,11/23,17.0,17,1
2010,Pitt,Big East,11/23,24.0,24,1
2010,California,Pac-10,11/23,22.0,22,1
2010,DePaul,Big East,11/23,15.0,15,1
2010,Mississippi State,SEC,11/23,19.0,19,1
2010,San Diego State,MWC,11/23,23.0,23,1
2010,UConn,Big East,11/30,1.0,1,1
2010,Stanford,Pac-10,11/30,2.0,2,1
2010,Tennessee,SEC,11/30,6.0,6,1
2010,Xavier,A-10,11/30,9.0,9,1
2010,Duke,ACC,11/30,11.0,11,1
2010,Notre Dame,Big East,11/30,5.0,5,1
2010,Ohio State,Big Ten,11/30,3.0,3,1
2010,Texas A&M,Big 12,11/30,10.0,10,1
2010,Florida State,ACC,11/30,12.0,12,1
2010,Oklahoma,Big 12,11/30,18.0,18,1
2010,Baylor,Big 12,11/30,8.0,8,1
2010,Texas,Big 12,11/30,17.0,17,1
2010,LSU,SEC,11/30,7.0,7,1
2010,Georgia,SEC,11/30,13.0,13,1
2010,Michigan State,Big Ten,11/30,22.0,22,1
2010,Virginia,ACC,11/30,14.0,14,1
2010,Georgia Tech,ACC,11/30,23.0,23,1
2010,Vanderbilt,SEC,11/30,16.0,16,1
2010,UNC,ACC,11/30,4.0,4,1
2010,Kansas,Big 12,11/30,24.0,24,1
2010,Arizona State,Pac-10,11/30,15.0,15,1
2010,Pitt,Big East,11/30,19.0,19,1
2010,Dayton,A-10,11/30,25.0,25,1
2010,California,Pac-10,11/30,20.0,20,1
2010,DePaul,Big East,11/30,21.0,21,1
2010,UConn,Big East,12/7,1.0,1,1
2010,Stanford,Pac-10,12/7,2.0,2,1
2010,Tennessee,SEC,12/7,4.0,4,1
2010,Nebraska,Big 12,12/7,24.0,24,1
2010,Xavier,A-10,12/7,8.0,8,1
2010,Duke,ACC,12/7,7.0,7,1
2010,Notre Dame,Big East,12/7,3.0,3,1
2010,Ohio State,Big Ten,12/7,9.0,9,1
2010,Texas A&M,Big 12,12/7,10.0,10,1
2010,Florida State,ACC,12/7,12.0,12,1
2010,Oklahoma,Big 12,12/7,16.0,16,1
2010,Baylor,Big 12,12/7,6.0,6,1
2010,Texas,Big 12,12/7,17.0,17,1
2010,LSU,SEC,12/7,5.0,5,1
2010,Georgia,SEC,12/7,13.0,13,1
2010,Michigan State,Big Ten,12/7,21.0,21,1
2010,Virginia,ACC,12/7,19.0,19,1
2010,Vanderbilt,SEC,12/7,18.0,18,1
2010,UNC,ACC,12/7,11.0,11,1
2010,Kansas,Big 12,12/7,23.0,23,1
2010,Arizona State,Pac-10,12/7,14.0,14,1
2010,Pitt,Big East,12/7,15.0,15,1
2010,Dayton,A-10,12/7,20.0,20,1
2010,California,Pac-10,12/7,22.0,22,1
2010,Maryland,ACC,12/7,25.0,25,1
2010,UConn,Big East,12/14,1.0,1,1
2010,Stanford,Pac-10,12/14,2.0,2,1
2010,Tennessee,SEC,12/14,3.0,3,1
2010,Nebraska,Big 12,12/14,20.0,20,1
2010,Xavier,A-10,12/14,12.0,12,1
2010,Duke,ACC,12/14,7.0,7,1
2010,Notre Dame,Big East,12/14,4.0,4,1
2010,Ohio State,Big Ten,12/14,8.0,8,1
2010,Texas A&M,Big 12,12/14,13.0,13,1
2010,Florida State,ACC,12/14,10.0,10,1
2010,Oklahoma,Big 12,12/14,15.0,15,1
2010,Baylor,Big 12,12/14,6.0,6,1
2010,Texas,Big 12,12/14,17.0,17,1
2010,LSU,SEC,12/14,5.0,5,1
2010,Georgia,SEC,12/14,11.0,11,1
2010,Michigan State,Big Ten,12/14,16.0,16,1
2010,Virginia,ACC,12/14,19.0,19,1
2010,Georgia Tech,ACC,12/14,25.0,25,1
2010,Vanderbilt,SEC,12/14,18.0,18,1
2010,UNC,ACC,12/14,9.0,9,1
2010,Green Bay,Horizon,12/14,23.0,23,1
2010,Kansas,Big 12,12/14,22.0,22,1
2010,Arizona State,Pac-10,12/14,14.0,14,1
2010,Pitt,Big East,12/14,21.0,21,1
2010,James Madison,CAA,12/14,24.0,24,1
2010,UConn,Big East,12/21,1.0,1,1
2010,Stanford,Pac-10,12/21,2.0,2,1
2010,Tennessee,SEC,12/21,4.0,4,1
2010,Nebraska,Big 12,12/21,14.0,14,1
2010,Xavier,A-10,12/21,15.0,15,1
2010,Duke,ACC,12/21,8.0,8,1
2010,Notre Dame,Big East,12/21,3.0,3,1
2010,Ohio State,Big Ten,12/21,6.0,6,1
2010,Texas A&M,Big 12,12/21,10.0,10,1
2010,Florida State,ACC,12/21,12.0,12,1
2010,Oklahoma,Big 12,12/21,13.0,13,1
2010,Baylor,Big 12,12/21,5.0,5,1
2010,Texas,Big 12,12/21,17.0,17,1
2010,LSU,SEC,12/21,11.0,11,1
2010,Georgia,SEC,12/21,9.0,9,1
2010,Michigan State,Big Ten,12/21,16.0,16,1
2010,Virginia,ACC,12/21,23.0,23,1
2010,Georgia Tech,ACC,12/21,24.0,24,1
2010,Vanderbilt,SEC,12/21,19.0,19,1
2010,UNC,ACC,12/21,7.0,7,1
2010,Green Bay,Horizon,12/21,22.0,22,1
2010,Kansas,Big 12,12/21,21.0,21,1
2010,Arizona State,Pac-10,12/21,18.0,18,1
2010,Pitt,Big East,12/21,20.0,20,1
2010,James Madison,CAA,12/21,25.0,25,1
2010,UConn,Big East,12/28,1.0,1,1
2010,Stanford,Pac-10,12/28,2.0,2,1
2010,Tennessee,SEC,12/28,4.0,4,1
2010,Nebraska,Big 12,12/28,13.0,13,1
2010,Xavier,A-10,12/28,15.0,15,1
2010,Duke,ACC,12/28,8.0,8,1
2010,Notre Dame,Big East,12/28,3.0,3,1
2010,Ohio State,Big Ten,12/28,6.0,6,1
2010,Texas A&M,Big 12,12/28,10.0,10,1
2010,Florida State,ACC,12/28,12.0,12,1
2010,Oklahoma,Big 12,12/28,14.0,14,1
2010,Baylor,Big 12,12/28,5.0,5,1
2010,Texas,Big 12,12/28,17.0,17,1
2010,LSU,SEC,12/28,11.0,11,1
2010,Georgia,SEC,12/28,9.0,9,1
2010,Michigan State,Big Ten,12/28,16.0,16,1
2010,Virginia,ACC,12/28,23.0,23,1
2010,Georgia Tech,ACC,12/28,24.0,24,1
2010,Vanderbilt,SEC,12/28,18.0,18,1
2010,UNC,ACC,12/28,7.0,7,1
2010,Green Bay,Horizon,12/28,22.0,22,1
2010,Kansas,Big 12,12/28,21.0,21,1
2010,Arizona State,Pac-10,12/28,19.0,19,1
2010,Pitt,Big East,12/28,20.0,20,1
2010,James Madison,CAA,12/28,25.0,25,1
2010,UConn,Big East,1/4,1.0,1,1
2010,Stanford,Pac-10,1/4,2.0,2,1
2010,Tennessee,SEC,1/4,4.0,4,1
2010,Nebraska,Big 12,1/4,12.0,12,1
2010,Xavier,A-10,1/4,16.0,16,1
2010,Duke,ACC,1/4,9.0,9,1
2010,Notre Dame,Big East,1/4,3.0,3,1
2010,Ohio State,Big Ten,1/4,6.0,6,1
2010,Texas A&M,Big 12,1/4,10.0,10,1
2010,West Virginia,Big East,1/4,22.0,22,1
2010,Florida State,ACC,1/4,13.0,13,1
2010,Oklahoma,Big 12,1/4,14.0,14,1
2010,Baylor,Big 12,1/4,5.0,5,1
2010,Texas,Big 12,1/4,15.0,15,1
2010,Oklahoma State,Big 12,1/4,23.0,23,1
2010,LSU,SEC,1/4,11.0,11,1
2010,Georgia,SEC,1/4,8.0,8,1
2010,Michigan State,Big Ten,1/4,19.0,19,1
2010,Virginia,ACC,1/4,21.0,21,1
2010,Georgia Tech,ACC,1/4,20.0,20,1
2010,TCU,MWC,1/4,25.0,25,1
2010,Vanderbilt,SEC,1/4,17.0,17,1
2010,UNC,ACC,1/4,7.0,7,1
2010,Green Bay,Horizon,1/4,18.0,18,1
2010,Kansas,Big 12,1/4,24.0,24,1
