season,team,conference,preseason_rank,best_rank,worst_rank,avg_rank_when_ranked,final_rank,weeks_in_top25,peak_streak,first_ranked_week,last_ranked_week
2021,Arizona,Pac 12,7.0,6.0,11.0,8.6,11.0,17,17,Pre,Final
2021,Arkansas,SEC,14.0,10.0,19.0,14.8,15.0,17,17,Pre,Final
2021,Baylor,Big 12,4.0,4.0,9.0,6.87,5.0,17,17,Pre,Final
2021,DePaul,Big East,19.0,17.0,25.0,20.57,,15,15,Pre,3/1
2021,Florida Gulf Coast,ASUN,,24.0,24.0,24.0,24.0,2,2,3/8,Final
2021,Georgia,SEC,,12.0,25.0,20.0,10.0,9,9,1/18,Final
2021,Gonzaga,WCC,21.0,16.0,25.0,20.0,14.0,17,17,Pre,Final
2021,Indiana,Big Ten,16.0,9.0,20.0,15.13,12.0,17,17,Pre,Final
2021,Iowa State,Big 12,15.0,23.0,24.0,23.5,,3,3,Pre,1/18
2021,Kentucky,SEC,11.0,9.0,20.0,14.0,18.0,17,17,Pre,Final
2021,Louisville,ACC,5.0,1.0,7.0,2.93,8.0,17,17,Pre,Final
2021,Maryland,Big Ten,12.0,7.0,14.0,10.4,7.0,17,17,Pre,Final
2021,Michigan,Big Ten,25.0,11.0,24.0,14.6,16.0,17,17,Pre,Final
2021,Michigan State,Big Ten,,23.0,25.0,24.33,,3,3,12/21,1/4
2021,Mississippi State,SEC,6.0,6.0,24.0,14.7,,11,11,Pre,2/1
2021,Missouri State,MVC,24.0,20.0,25.0,22.91,20.0,13,13,Pre,Final
2021,NC State,ACC,8.0,2.0,8.0,3.53,3.0,17,17,Pre,Final
2021,Northwestern,Big Ten,17.0,15.0,24.0,19.42,,13,13,Pre,2/15
2021,Notre Dame,ACC,22.0,,,,,1,1,Pre,Pre
2021,Ohio State,Big Ten,20.0,11.0,22.0,16.4,22.0,17,17,Pre,Final
2021,Oregon,Pac 12,10.0,8.0,23.0,11.93,23.0,17,17,Pre,Final
2021,Oregon State,Pac 12,18.0,15.0,21.0,17.67,,4,4,Pre,12/14
2021,Rutgers,Big Ten,,19.0,25.0,22.67,21.0,4,4,2/22,Final
2021,South Carolina,SEC,1.0,1.0,7.0,4.07,6.0,17,17,Pre,Final
2021,South Dakota State,Summit,,21.0,25.0,23.0,25.0,9,9,12/7,Final
2021,South Florida,AAC,,12.0,23.0,16.38,19.0,14,14,12/14,Final
2021,Stanford,Pac 12,2.0,1.0,6.0,3.07,2.0,17,17,Pre,Final
2021,Syracuse,ACC,23.0,18.0,24.0,21.88,,9,9,Pre,1/18
2021,Tennessee,SEC,,14.0,25.0,19.0,13.0,10,10,1/11,Final
2021,Texas,Big 12,,17.0,25.0,21.0,,7,7,11/30,1/11
2021,Texas A&M,SEC,13.0,2.0,12.0,7.2,4.0,17,17,Pre,Final
2021,UCLA,Pac 12,9.0,5.0,11.0,8.67,9.0,17,17,Pre,Final
2021,UConn,Big East,3.0,1.0,4.0,2.53,1.0,17,17,Pre,Final
2021,Washington State,Pac 12,,25.0,25.0,25.0,,1,1,1/11,1/11
2021,West Virginia,Big 12,,17.0,24.0,19.71,17.0,8,8,1/25,Final
2022,Arizona,Pac 12,22.0,4.0,20.0,8.35,19.0,19,19,Pre,Final
2022,BYU,WCC,,15.0,21.0,18.0,20.0,16,16,11/29,Final
2022,Baylor,Big 12,7.0,4.0,15.0,8.29,7.0,19,19,Pre,Final
2022,Colorado,Pac 12,,22.0,25.0,23.0,,3,3,12/6,1/17
2022,Duke,ACC,,15.0,21.0,17.5,,8,8,12/6,1/24
2022,Florida,SEC,,15.0,23.0,18.5,,4,4,2/7,2/28
2022,Florida Gulf Coast,ASUN,,22.0,25.0,23.22,23.0,10,10,11/23,Final
2022,Florida State,ACC,16.0,17.0,25.0,19.67,,4,4,Pre,11/29
2022,Georgia,SEC,,13.0,25.0,17.5,,14,14,11/29,2/28
2022,Georgia Tech,ACC,17.0,11.0,25.0,16.77,,14,14,Pre,2/28
2022,Indiana,Big Ten,8.0,4.0,14.0,7.41,11.0,19,19,Pre,Final
2022,Iowa,Big Ten,9.0,8.0,25.0,16.62,8.0,18,18,Pre,Final
2022,Iowa State,Big 12,12.0,6.0,15.0,11.12,10.0,19,19,Pre,Final
2022,Kansas State,Big 12,,25.0,25.0,25.0,,3,3,1/10,1/31
2022,Kentucky,SEC,13.0,14.0,23.0,19.0,15.0,13,13,Pre,Final
2022,LSU,SEC,,6.0,24.0,14.07,9.0,15,15,12/6,Final
2022,Louisville,ACC,6.0,3.0,10.0,5.06,4.0,19,19,Pre,Final
2022,Maryland,Big Ten,4.0,2.0,17.0,10.06,13.0,19,19,Pre,Final
2022,Michigan,Big Ten,11.0,4.0,13.0,9.53,12.0,19,19,Pre,Final
2022,NC State,ACC,5.0,2.0,5.0,3.71,3.0,19,19,Pre,Final
2022,Notre Dame,ACC,,14.0,24.0,19.73,21.0,16,16,11/29,Final
2022,Ohio State,Big Ten,17.0,13.0,25.0,20.07,14.0,16,16,Pre,Final
2022,Oklahoma,Big 12,,12.0,23.0,18.3,22.0,11,11,1/3,Final
2022,Ole Miss,SEC,,24.0,24.0,24.0,,1,1,1/24,1/24
2022,Oregon,Pac 12,10.0,9.0,25.0,18.43,,8,8,Pre,2/21
2022,Oregon State,Pac 12,14.0,15.0,23.0,19.25,,5,5,Pre,12/6
2022,Princeton,Ivy,,24.0,24.0,24.0,25.0,2,2,3/7,Final
2022,South Carolina,SEC,1.0,1.0,1.0,1.0,1.0,19,19,Pre,Final
2022,South Florida,AAC,21.0,13.0,24.0,19.44,,10,10,Pre,1/10
2022,Stanford,Pac 12,3.0,2.0,7.0,2.88,2.0,19,19,Pre,Final
2022,Tennessee,SEC,15.0,4.0,19.0,10.24,18.0,19,19,Pre,Final
2022,Texas,Big 12,25.0,7.0,16.0,11.94,6.0,19,19,Pre,Final
2022,Texas A&M,SEC,23.0,17.0,25.0,22.0,,9,9,Pre,1/3
2022,UCF,AAC,,25.0,25.0,25.0,24.0,2,2,3/7,Final
2022,UCLA,Pac 12,20.0,19.0,20.0,19.5,,3,3,Pre,11/23
2022,UConn,Big East,2.0,2.0,11.0,7.47,5.0,19,19,Pre,Final
2022,UNC,ACC,,16.0,25.0,21.42,17.0,13,13,12/13,Final
2022,Virginia Tech,ACC,24.0,17.0,25.0,22.17,16.0,8,8,Pre,Final
2022,West Virginia,Big 12,19.0,22.0,22.0,22.0,,3,3,Pre,11/23
2023,Arizona,Pac 12,19.0,12.0,22.0,17.12,24.0,18,18,Pre,Final
2023,Arkansas,SEC,,17.0,24.0,20.75,,4,4,12/5,12/26
2023,Baylor,Big 12,18.0,17.0,24.0,20.44,,10,10,Pre,1/9
2023,Colorado,Pac 12,,20.0,25.0,22.67,20.0,7,7,1/16,Final
2023,Creighton,Big East,21.0,13.0,25.0,18.75,,9,9,Pre,1/2
2023,Duke,ACC,,9.0,19.0,13.56,13.0,10,10,1/2,Final
2023,Florida State,ACC,,19.0,24.0,22.6,,5,5,1/23,2/20
2023,Gonzaga,WCC,,15.0,23.0,19.64,16.0,15,15,11/28,Final
2023,Illinois,Big Ten,,21.0,25.0,23.0,,4,4,1/9,2/20
