team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating,roster_archetype
Arizona,2021,Pac 12,,,,,,,,,,,,,,7.0,6.0,11.0,17.0,17.0,21.0,6.0,0.778,,Veteran / Development Success
Arkansas,2021,SEC,,,,,,,,,,,,,,14.0,10.0,15.0,17.0,17.0,19.0,9.0,0.679,,Veteran / Development Success
Baylor,2021,Big 12,,,,,,,,,,,,,,4.0,4.0,5.0,17.0,17.0,28.0,3.0,0.903,,Veteran / Development Success
DePaul,2021,Big East,,,,,,,,,,,,,,19.0,17.0,,15.0,15.0,14.0,10.0,0.583,,Veteran / Development Success
Florida Gulf Coast,2021,ASUN,,,,,,,,,,,,,,,24.0,24.0,2.0,2.0,26.0,3.0,0.897,,Veteran / Development Success
Georgia,2021,SEC,,,,,,,,,,,,,,,12.0,10.0,9.0,9.0,21.0,7.0,0.75,,Veteran / Development Success
Gonzaga,2021,WCC,,,,,,,,,,,,,,21.0,16.0,14.0,17.0,17.0,23.0,4.0,0.852,,Veteran / Development Success
Indiana,2021,Big Ten,,,,,,,,,,,,,,16.0,9.0,12.0,17.0,17.0,21.0,6.0,0.778,,Veteran / Development Success
Iowa State,2021,Big 12,,,,,,,,,,,,,,15.0,23.0,,3.0,3.0,17.0,11.0,0.607,,Veteran / Development Success
Kentucky,2021,SEC,,,,,,,,,,,,,,11.0,9.0,18.0,17.0,17.0,18.0,9.0,0.667,,Veteran / Development Success
Louisville,2021,ACC,,,,,,,,,,,,,,5.0,1.0,8.0,17.0,17.0,26.0,4.0,0.867,,Veteran / Development Success
Maryland,2021,Big Ten,,,,,,,,,,,,,,12.0,7.0,7.0,17.0,17.0,26.0,3.0,0.897,,Veteran / Development Success
Michigan,2021,Big Ten,,,,,,,,,,,,,,25.0,11.0,16.0,17.0,17.0,16.0,6.0,0.727,,Veteran / Development Success
Michigan State,2021,Big Ten,,,,,,,,,,,,,,,23.0,,3.0,3.0,15.0,9.0,0.625,,Veteran / Development Success
Mississippi State,2021,SEC,,,,,,,,,,,,,,6.0,6.0,,11.0,11.0,10.0,9.0,0.526,,Veteran / Development Success
Missouri State,2021,MVC,,,,,,,,,,,,,,24.0,20.0,20.0,13.0,13.0,23.0,3.0,0.885,,Veteran / Development Success
NC State,2021,ACC,,,,,,,,,,,,,,8.0,2.0,3.0,17.0,17.0,22.0,3.0,0.88,,Veteran / Development Success
Northwestern,2021,Big Ten,,,,,,,,,,,,,,17.0,15.0,,13.0,13.0,16.0,9.0,0.64,,Veteran / Development Success
Notre Dame,2021,ACC,,,,,,,,,,,,,,22.0,,,1.0,1.0,10.0,10.0,0.5,,Veteran / Development Success
Ohio State,2021,Big Ten,,,,,,,,,,,,,,20.0,11.0,22.0,17.0,17.0,13.0,7.0,0.65,,Veteran / Development Success
Oregon,2021,Pac 12,,,,,,,,,,,,,,10.0,8.0,23.0,17.0,17.0,15.0,9.0,0.625,,Veteran / Development Success
Oregon State,2021,Pac 12,,,,,,,,,,,,,,18.0,15.0,,4.0,4.0,12.0,8.0,0.6,,Veteran / Development Success
Rutgers,2021,Big Ten,,,,,,,,,,,,,,,19.0,21.0,4.0,4.0,14.0,5.0,0.737,,Veteran / Development Success
South Carolina,2021,SEC,,,,,,,,,,,,,,1.0,1.0,6.0,17.0,17.0,26.0,5.0,0.839,,Veteran / Development Success
South Dakota State,2021,Summit,,,,,,,,,,,,,,,21.0,25.0,9.0,9.0,21.0,4.0,0.84,,Veteran / Development Success
South Florida,2021,AAC,,,,,,,,,,,,,,,12.0,19.0,14.0,14.0,19.0,4.0,0.826,,Veteran / Development Success
Stanford,2021,Pac 12,,,,,,,,,,,,,,2.0,1.0,2.0,17.0,17.0,31.0,2.0,0.939,,Veteran / Development Success
Syracuse,2021,ACC,,,,,,,,,,,,,,23.0,18.0,,9.0,9.0,15.0,9.0,0.625,,Veteran / Development Success
Tennessee,2021,SEC,,,,,,,,,,,,,,,14.0,13.0,10.0,10.0,17.0,8.0,0.68,,Veteran / Development Success
Texas,2021,Big 12,,,,,,,,,,,,,,,17.0,,7.0,7.0,21.0,10.0,0.677,,Veteran / Development Success
Texas A&M,2021,SEC,,,,,,,,,,,,,,13.0,2.0,4.0,17.0,17.0,25.0,3.0,0.893,,Veteran / Development Success
UCLA,2021,Pac 12,,,,,,,,,,,,,,9.0,5.0,9.0,17.0,17.0,17.0,6.0,0.739,,Veteran / Development Success
UConn,2021,Big East,,,,,,,,,,,,,,3.0,1.0,1.0,17.0,17.0,28.0,2.0,0.933,,Veteran / Development Success
Washington State,2021,Pac 12,,,,,,,,,,,,,,,25.0,,1.0,1.0,12.0,12.0,0.5,,Veteran / Development Success
West Virginia,2021,Big 12,,,,,,,,,,,,,,,17.0,17.0,8.0,8.0,22.0,7.0,0.759,,Veteran / Development Success
Alabama,2022,,,,75.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,20.0,14.0,0.588,,Unranked / Low Recruit Visibility
Arizona,2022,Pac 12,,,71.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,73.0,22.0,4.0,19.0,19.0,19.0,21.0,8.0,0.724,,Veteran / Development Success
Arizona State,2022,,,,33.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,12.0,15.0,0.444,,Unranked / Low Recruit Visibility
Arkansas,2022,,,,7.0,96.5,1.0,2.0,2.0,2.0,9.0,0.0,1.0,1.0,76.5,,,,,,18.0,14.0,0.562,,Top Recruit Anchor
BYU,2022,WCC,,,74.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,76.0,,15.0,20.0,16.0,16.0,26.0,4.0,0.867,,Veteran / Development Success
Baylor,2022,Big 12,,,,,,,,,,,,,,7.0,4.0,7.0,19.0,19.0,28.0,7.0,0.8,,Veteran / Development Success
Boston College,2022,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,21.0,12.0,0.636,,Unranked / Low Recruit Visibility
Clemson,2022,,,,52.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,10.0,21.0,0.323,,Unranked / Low Recruit Visibility
Colorado,2022,Pac 12,,,82.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,22.0,,3.0,3.0,22.0,9.0,0.71,,Veteran / Development Success
Davidson,2022,,,,96.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,18.0,15.0,0.545,,Unranked / Low Recruit Visibility
Duke,2022,ACC,,,41.0,93.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,65.0,,15.0,,8.0,8.0,17.0,13.0,0.567,,Veteran / Development Success
Duquesne,2022,,,,90.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,11.0,18.0,0.379,,Unranked / Low Recruit Visibility
Florida,2022,SEC,,,,,,,,,,,,,,,15.0,,4.0,4.0,21.0,11.0,0.656,,Veteran / Development Success
Florida Gulf Coast,2022,ASUN,,,,,,,,,,,,,,,22.0,23.0,10.0,10.0,30.0,3.0,0.909,,Veteran / Development Success
Florida State,2022,ACC,,,31.0,93.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,69.0,16.0,17.0,,4.0,4.0,17.0,14.0,0.548,,Veteran / Development Success
Georgia,2022,SEC,,,34.0,93.5,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,73.5,,13.0,,14.0,14.0,21.0,10.0,0.677,,Veteran / Development Success
Georgia Tech,2022,ACC,,,,,,,,,,,,,,17.0,11.0,,14.0,14.0,21.0,11.0,0.656,,Veteran / Development Success
Gonzaga,2022,,,,44.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,27.0,7.0,0.794,,Unranked / Low Recruit Visibility
Green Bay,2022,,,,73.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,20.0,8.0,0.714,,Unranked / Low Recruit Visibility
Illinois,2022,,,,53.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,7.0,20.0,0.259,,Unranked / Low Recruit Visibility
Indiana,2022,Big Ten,,,,,,,,,,,,,,8.0,4.0,11.0,19.0,19.0,24.0,9.0,0.727,,Veteran / Development Success
Iowa,2022,Big Ten,,,39.0,92.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,75.0,9.0,8.0,8.0,18.0,18.0,24.0,8.0,0.75,,Veteran / Development Success
Iowa State,2022,Big 12,,,,,,,,,,,,,,12.0,6.0,10.0,19.0,19.0,28.0,7.0,0.8,,Veteran / Development Success
Jackson State,2022,,,,70.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,67.0,,,,,,23.0,7.0,0.767,,Unranked / Low Recruit Visibility
Kansas State,2022,Big 12,,,54.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,,25.0,,3.0,3.0,20.0,13.0,0.606,,Veteran / Development Success
Kentucky,2022,SEC,,,87.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,13.0,14.0,15.0,13.0,13.0,19.0,12.0,0.613,,Veteran / Development Success
LSU,2022,SEC,,,51.0,92.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,74.5,,6.0,9.0,15.0,15.0,26.0,6.0,0.812,,Veteran / Development Success
Louisville,2022,ACC,,,12.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,73.0,6.0,3.0,4.0,19.0,19.0,30.0,5.0,0.857,,Balanced Recruit + Results
Marquette,2022,,,,58.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,23.0,11.0,0.676,,Unranked / Low Recruit Visibility
Maryland,2022,Big Ten,,,22.0,95.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,72.0,4.0,2.0,13.0,19.0,19.0,23.0,9.0,0.719,,Veteran / Development Success
Miami (FL),2022,,,,79.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,21.0,13.0,0.618,,Unranked / Low Recruit Visibility
Michigan,2022,Big Ten,,,28.0,92.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,11.0,4.0,12.0,19.0,19.0,25.0,7.0,0.781,,Veteran / Development Success
Michigan State,2022,,,,23.0,95.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,67.0,,,,,,15.0,15.0,0.5,,Unranked / Low Recruit Visibility
Middle Tennessee,2022,,,,89.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,,,,,27.0,8.0,0.771,,Unranked / Low Recruit Visibility
Minnesota,2022,,,,98.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,,,,,,15.0,18.0,0.455,,Unranked / Low Recruit Visibility
Mississippi State,2022,,,,40.0,92.5,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,69.5,,,,,,15.0,14.0,0.517,,Unranked / Low Recruit Visibility
Missouri,2022,,,,47.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,72.0,,,,,,18.0,13.0,0.581,,Unranked / Low Recruit Visibility
NC State,2022,ACC,,,36.0,92.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,73.0,5.0,2.0,3.0,19.0,19.0,32.0,4.0,0.889,,Veteran / Development Success
Nebraska,2022,,,,49.0,92.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,71.5,,,,,,24.0,9.0,0.727,,Unranked / Low Recruit Visibility
Northwestern,2022,,,,35.0,93.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,72.0,,,,,,17.0,12.0,0.586,,Unranked / Low Recruit Visibility
Notre Dame,2022,ACC,,,8.0,96.0,1.0,2.0,2.0,2.0,9.0,2.0,0.0,0.0,71.5,,14.0,21.0,16.0,16.0,25.0,9.0,0.735,,Top Recruit Anchor
Ohio State,2022,Big Ten,,,,,,,,,,,,,,17.0,13.0,14.0,16.0,16.0,25.0,7.0,0.781,,Veteran / Development Success
Oklahoma,2022,Big 12,,,66.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,66.0,,12.0,22.0,11.0,11.0,25.0,9.0,0.735,,Veteran / Development Success
Oklahoma State,2022,,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,9.0,20.0,0.31,,Unranked / Low Recruit Visibility
Ole Miss,2022,SEC,,,,,,,,,,,,,,,24.0,,1.0,1.0,23.0,9.0,0.719,,Veteran / Development Success
Oregon,2022,Pac 12,,,29.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,73.0,10.0,9.0,,8.0,8.0,21.0,12.0,0.636,,Veteran / Development Success
Oregon State,2022,Pac 12,,,25.0,93.33,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,71.7,14.0,15.0,,5.0,5.0,17.0,14.0,0.548,,Veteran / Development Success
Princeton,2022,Ivy,,,,,,,,,,,,,,,24.0,25.0,2.0,2.0,25.0,5.0,0.833,,Veteran / Development Success
Purdue,2022,,,,93.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,17.0,15.0,0.531,,Unranked / Low Recruit Visibility
Rutgers,2022,,,,77.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,11.0,20.0,0.355,,Unranked / Low Recruit Visibility
San Diego State,2022,,,,83.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,15.0,16.0,0.484,,Unranked / Low Recruit Visibility
South Carolina,2022,SEC,,,2.0,97.5,3.0,4.0,4.0,4.0,21.0,3.0,1.0,0.0,71.5,1.0,1.0,1.0,19.0,19.0,35.0,2.0,0.946,,Elite Recruiting Class
South Florida,2022,AAC,,,,,,,,,,,,,,21.0,13.0,,10.0,10.0,24.0,9.0,0.727,,Veteran / Development Success
Stanford,2022,Pac 12,,,11.0,94.33,0.0,2.0,2.0,3.0,6.0,1.0,2.0,0.0,72.7,3.0,2.0,2.0,19.0,19.0,32.0,4.0,0.889,,Balanced Recruit + Results
Syracuse,2022,,,,99.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,11.0,18.0,0.379,,Unranked / Low Recruit Visibility
TCU,2022,,,,72.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,6.0,22.0,0.214,,Unranked / Low Recruit Visibility
Temple,2022,,,,65.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,13.0,15.0,0.464,,Unranked / Low Recruit Visibility
Tennessee,2022,SEC,,,43.0,92.33,0.0,0.0,2.0,3.0,2.0,1.0,2.0,0.0,72.7,15.0,4.0,18.0,19.0,19.0,25.0,9.0,0.735,,Veteran / Development Success
Texas,2022,Big 12,,,6.0,95.5,2.0,3.0,4.0,4.0,16.0,2.0,2.0,0.0,70.8,25.0,7.0,6.0,19.0,19.0,29.0,7.0,0.806,,Top Recruit Anchor
Texas A&M,2022,SEC,,,91.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,75.0,23.0,17.0,,9.0,9.0,14.0,15.0,0.483,,Veteran / Development Success
Texas Tech,2022,,,,67.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,,,,,,11.0,19.0,0.367,,Unranked / Low Recruit Visibility
UCF,2022,AAC,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,25.0,24.0,2.0,2.0,26.0,4.0,0.867,,Veteran / Development Success
UCLA,2022,Pac 12,,,26.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,20.0,19.0,,3.0,3.0,18.0,14.0,0.562,,Veteran / Development Success
UConn,2022,Big East,,,1.0,96.5,2.0,3.0,4.0,4.0,16.0,3.0,1.0,0.0,73.8,2.0,2.0,5.0,19.0,19.0,30.0,6.0,0.833,,Elite Recruiting Class
UMass,2022,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,26.0,7.0,0.788,,Unranked / Low Recruit Visibility
UNC,2022,ACC,,,9.0,95.5,1.0,4.0,4.0,4.0,15.0,2.0,2.0,0.0,72.2,,16.0,17.0,13.0,13.0,25.0,7.0,0.781,,Top Recruit Anchor
USC,2022,,,,21.0,94.5,0.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,76.0,,,,,,12.0,16.0,0.429,,Unranked / Low Recruit Visibility
Utah,2022,,,,42.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,,,,,,21.0,12.0,0.636,,Unranked / Low Recruit Visibility
Vanderbilt,2022,,,,57.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.0,,,,,,16.0,19.0,0.457,,Unranked / Low Recruit Visibility
Virginia Tech,2022,ACC,,,61.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,24.0,17.0,16.0,8.0,8.0,23.0,10.0,0.697,,Veteran / Development Success
Wake Forest,2022,,,,60.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,,,,,,16.0,17.0,0.485,,Unranked / Low Recruit Visibility
Washington,2022,,,,76.0,91.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,71.0,,,,,,7.0,16.0,0.304,,Unranked / Low Recruit Visibility
West Virginia,2022,Big 12,,,59.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,73.0,19.0,22.0,,3.0,3.0,15.0,15.0,0.5,,Veteran / Development Success
Xavier,2022,,,,46.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,9.0,21.0,0.3,,Unranked / Low Recruit Visibility
Arizona,2023,Pac 12,,,9.0,94.75,1.0,2.0,3.0,4.0,10.0,3.0,1.0,0.0,70.8,19.0,12.0,24.0,18.0,18.0,22.0,10.0,0.688,,Top Recruit Anchor
Arizona State,2023,,,,73.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,8.0,22.0,0.267,,Unranked / Low Recruit Visibility
Arkansas,2023,SEC,,,,,,,,,,,,,,,17.0,,4.0,4.0,24.0,13.0,0.649,,Veteran / Development Success
Auburn,2023,,,,50.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,66.0,,,,,,16.0,15.0,0.516,,Unranked / Low Recruit Visibility
Baylor,2023,Big 12,,,17.0,94.67,0.0,1.0,2.0,3.0,4.0,0.0,2.0,1.0,74.0,18.0,17.0,,10.0,10.0,20.0,13.0,0.606,,Balanced Recruit + Results
Boston College,2023,,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0,,,,,,16.0,17.0,0.485,,Unranked / Low Recruit Visibility
California,2023,,,,51.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,13.0,17.0,0.433,,Unranked / Low Recruit Visibility
Clemson,2023,,,,15.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,72.0,,,,,,19.0,16.0,0.543,,High Expectations / Underperformed
Colorado,2023,Pac 12,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,26.0,9.0,0.743,,Veteran / Development Success
Creighton,2023,Big East,,,,,,,,,,,,,,21.0,13.0,,9.0,9.0,22.0,9.0,0.71,,Veteran / Development Success
DePaul,2023,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,16.0,17.0,0.485,,Unranked / Low Recruit Visibility
Duke,2023,ACC,,,16.0,95.5,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,72.5,,9.0,13.0,10.0,10.0,26.0,7.0,0.788,,Balanced Recruit + Results
East Carolina,2023,,,,70.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,23.0,10.0,0.697,,Unranked / Low Recruit Visibility
Florida State,2023,ACC,,,14.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,68.0,,19.0,,5.0,5.0,23.0,10.0,0.697,,Balanced Recruit + Results
Georgetown,2023,,,,75.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,14.0,17.0,0.452,,Unranked / Low Recruit Visibility
Georgia,2023,,,,47.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,73.0,,,,,,22.0,12.0,0.647,,Unranked / Low Recruit Visibility
Georgia Tech,2023,,,,24.0,94.5,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,70.5,,,,,,13.0,17.0,0.433,,Unranked / Low Recruit Visibility
Gonzaga,2023,WCC,,,,,,,,,,,,,,,15.0,16.0,15.0,15.0,28.0,5.0,0.848,,Veteran / Development Success
Harvard,2023,,,,86.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,20.0,12.0,0.625,,Unranked / Low Recruit Visibility
Illinois,2023,Big Ten,,,65.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,21.0,,4.0,4.0,22.0,10.0,0.688,,Veteran / Development Success
Indiana,2023,Big Ten,,,68.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,11.0,2.0,3.0,18.0,18.0,28.0,4.0,0.875,,Veteran / Development Success
Iowa,2023,Big Ten,,,45.0,92.33,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,72.0,4.0,4.0,2.0,18.0,18.0,31.0,7.0,0.816,,Veteran / Development Success
Iowa State,2023,Big 12,,,,,,,,,,,,,,8.0,5.0,,17.0,17.0,22.0,10.0,0.688,,Veteran / Development Success
Kansas,2023,Big 12,,,,,,,,,,,,,,,20.0,,5.0,5.0,25.0,11.0,0.694,,Veteran / Development Success
Kansas State,2023,Big 12,,,,,,,,,,,,,,,24.0,,2.0,2.0,19.0,17.0,0.528,,Veteran / Development Success
Kentucky,2023,,,,69.0,92.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,73.0,,,,,,12.0,19.0,0.387,,Unranked / Low Recruit Visibility
LSU,2023,SEC,,,26.0,94.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,72.0,16.0,3.0,9.0,18.0,18.0,34.0,2.0,0.944,,Veteran / Development Success
Louisville,2023,ACC,,,35.0,94.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,1.0,73.2,7.0,6.0,,4.0,4.0,26.0,12.0,0.684,,Veteran / Development Success
Marquette,2023,Big East,,,77.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,24.0,,1.0,1.0,21.0,11.0,0.656,,Veteran / Development Success
Maryland,2023,Big Ten,,,42.0,94.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,70.7,17.0,5.0,6.0,18.0,18.0,28.0,7.0,0.8,,Veteran / Development Success
Miami (FL),2023,,,,25.0,95.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,76.0,,,,,,22.0,13.0,0.629,,Unranked / Low Recruit Visibility
Michigan,2023,Big Ten,,,48.0,92.5,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,72.5,25.0,12.0,18.0,18.0,18.0,23.0,10.0,0.697,,Veteran / Development Success
Michigan State,2023,,,,80.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,,,,,16.0,14.0,0.533,,Unranked / Low Recruit Visibility
Middle Tennessee,2023,CUSA,,,,,,,,,,,,,,,21.0,25.0,5.0,5.0,28.0,5.0,0.848,,Veteran / Development Success
Minnesota,2023,,,,28.0,94.67,0.0,0.0,2.0,3.0,2.0,2.0,1.0,0.0,71.7,,,,,,11.0,19.0,0.367,,Unranked / Low Recruit Visibility
Mississippi State,2023,,,,84.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,73.0,,,,,,22.0,11.0,0.667,,Unranked / Low Recruit Visibility
Missouri,2023,,,,74.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,70.0,,,,,,18.0,14.0,0.562,,Unranked / Low Recruit Visibility
Montana,2023,,,,100.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69.0,,,,,,14.0,16.0,0.467,,Unranked / Low Recruit Visibility
