Rk,School,Conf,Unnamed: 3_level_1,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10_level_1,SOS,Unnamed: 12_level_1,OSRS,DSRS,SRS,ORtg,DRtg,NRtg,run_date
1,UConn,Big East,,1,38,1,86.8,50.4,36.44,,14.46,,28.09,22.80,50.89,127.00,58.80,68.20,2026-04-04
2,South Carolina,SEC,,4,36,3,86.5,57.3,29.21,,20.15,,29.16,20.20,49.36,127.78,63.15,64.63,2026-04-04
3,UCLA,Big Ten,,2,36,1,84.0,56.6,27.43,,21.22,,26.79,21.87,48.66,131.20,64.16,67.04,2026-04-04
4,Texas,SEC,,3,35,4,83.9,55.8,28.15,,19.63,,26.00,21.78,47.78,125.19,62.01,63.18,2026-04-04
5,LSU,SEC,,5,29,6,95.0,61.1,33.89,,13.62,,34.81,12.69,47.50,126.67,67.97,58.70,2026-04-04
6,Michigan,Big Ten,,9,28,7,82.3,62.6,19.66,,19.07,,23.62,15.11,38.73,117.20,66.99,50.21,2026-04-04
7,Duke,ACC,,8,27,9,74.1,59.7,14.36,,20.04,,16.86,17.55,34.41,112.50,66.99,45.51,2026-04-04
8,Vanderbilt,SEC,,6,29,5,84.3,65.2,19.12,,15.18,,24.82,9.48,34.30,121.98,76.92,45.06,2026-04-04
9,Oklahoma,SEC,,10,26,8,85.9,68.6,17.26,,16.89,,26.52,7.64,34.16,113.57,71.12,42.45,2026-04-04
10,Louisville,ACC,,13,29,8,78.7,61.0,17.68,,14.81,,19.62,12.87,32.49,118.18,74.94,43.24,2026-04-04
11,Maryland,Big Ten,,17,24,9,82.3,63.7,18.61,,13.06,,21.94,9.73,31.66,116.20,73.90,42.30,2026-04-04
12,Texas Christian,Big 12,,14,32,6,76.8,56.9,19.89,,11.75,,15.42,16.23,31.65,113.61,71.46,42.14,2026-04-04
13,West Virginia,Big 12,,11,28,7,76.3,58.4,17.91,,13.53,,16.88,14.56,31.45,113.87,72.23,41.64,2026-04-04
14,Kentucky,SEC,,16,25,11,74.9,60.9,13.94,,17.30,,15.78,15.46,31.24,115.43,73.10,42.33,2026-04-04
15,Ohio State,Big Ten,,12,27,8,81.3,66.3,14.94,,16.22,,22.21,8.95,31.17,114.43,74.38,40.04,2026-04-04
16,Minnesota,Big Ten,,18,24,9,74.1,58.8,15.30,,15.78,,14.50,16.58,31.08,115.26,72.23,43.03,2026-04-04
17,Michigan State,Big Ten,,20,23,9,82.1,66.1,15.97,,14.87,,21.62,9.22,30.84,117.98,77.08,40.90,2026-04-04
18,Iowa,Big Ten,,7,27,7,76.2,65.2,11.00,,19.83,,18.01,12.81,30.83,113.35,72.20,41.15,2026-04-04
19,UNC,ACC,,15,28,8,74.6,59.1,15.58,,13.87,,14.71,14.74,29.45,110.68,71.61,39.07,2026-04-04
20,Notre Dame,ACC,,22,25,11,77.1,65.1,11.94,,16.36,,17.78,10.53,28.31,112.21,75.51,36.70,2026-04-04
21,Ole Miss,SEC,,19,24,12,75.3,62.2,13.06,,15.19,,15.71,12.54,28.25,112.19,75.37,36.82,2026-04-04
22,Tennessee,SEC,,,16,14,76.4,69.6,6.80,,20.40,,19.32,7.89,27.20,111.50,76.17,35.33,2026-04-04
23,USC,Big Ten,,,18,14,69.7,64.2,5.50,,21.25,,12.56,14.18,26.75,107.20,71.08,36.12,2026-04-04
24,Nebraska,Big Ten,,,19,13,78.7,67.3,11.34,,15.30,,18.32,8.32,26.64,116.01,79.97,36.04,2026-04-04
25,NC State,ACC,,,21,11,76.7,67.1,9.63,,16.47,,17.76,8.34,26.09,112.26,77.94,34.32,2026-04-04
26,Washington,Big Ten,,,22,11,71.3,62.0,9.36,,16.36,,12.37,13.36,25.73,111.53,76.03,35.50,2026-04-04
27,Alabama,SEC,,,24,11,70.0,61.6,8.43,,17.09,,11.65,13.86,25.51,110.11,75.27,34.84,2026-04-04
28,Oregon,Big Ten,,,23,13,74.1,65.4,8.75,,16.62,,15.14,10.23,25.37,109.04,75.23,33.81,2026-04-04
29,Oklahoma State,Big 12,,,24,10,81.1,64.2,16.85,,10.11,,18.34,7.01,25.35,116.28,83.06,33.21,2026-04-04
30,Illinois,Big Ten,,,22,12,76.5,66.1,10.44,,14.17,,15.40,9.21,24.61,112.37,79.52,32.84,2026-04-04
31,Iowa State,Big 12,,,22,10,81.7,67.3,14.41,,9.37,,20.39,3.38,23.77,116.38,84.55,31.84,2026-04-04
32,Baylor,Big 12,,21,25,9,70.6,60.3,10.26,,13.37,,11.46,12.18,23.64,104.48,72.60,31.88,2026-04-04
33,Georgia,SEC,,24,22,10,73.6,62.1,11.44,,11.96,,12.58,10.82,23.40,109.34,78.26,31.08,2026-04-04
34,Texas Tech,Big 12,,25,26,8,70.8,59.1,11.65,,11.60,,9.81,13.44,23.25,105.55,74.77,30.77,2026-04-04
35,Virginia,ACC,,,22,12,75.0,65.0,9.94,,11.39,,14.57,6.76,21.33,110.44,81.74,28.71,2026-04-04
36,Villanova,Big East,,,25,8,71.2,61.2,10.00,,10.98,,11.63,9.35,20.98,106.65,77.75,28.90,2026-04-04
37,Virginia Tech,ACC,,,23,10,72.5,61.5,10.94,,9.23,,10.95,9.22,20.17,102.99,76.91,26.08,2026-04-04
38,Mississippi State,SEC,,,18,13,74.8,67.1,7.71,,12.31,,13.75,6.26,20.02,107.73,81.60,26.13,2026-04-04
39,Syracuse,ACC,,,24,9,73.5,64.5,9.06,,10.89,,12.84,7.11,19.95,104.33,78.49,25.84,2026-04-04
40,Colorado,Big 12,,,22,12,67.5,60.9,6.65,,13.11,,7.47,12.29,19.76,102.16,75.84,26.32,2026-04-04
41,Florida,SEC,,,18,15,73.2,66.8,6.45,,13.12,,11.89,7.69,19.57,105.42,80.31,25.11,2026-04-04
42,Clemson,ACC,,,21,12,67.7,59.1,8.61,,10.08,,6.12,12.57,18.69,106.92,81.31,25.61,2026-04-04
43,Stanford,ACC,,,21,14,70.5,63.2,7.29,,11.11,,9.54,8.86,18.40,104.67,79.22,25.45,2026-04-04
44,California,ACC,,,21,15,69.8,63.8,5.94,,11.75,,8.94,8.75,17.69,104.48,80.98,23.50,2026-04-04
45,James Madison,Sun Belt,,,26,9,74.2,61.3,12.89,,4.57,,9.70,7.75,17.45,103.10,79.54,23.56,2026-04-04
46,Kansas,Big 12,,,22,14,71.9,65.3,6.69,,12.36,,10.44,6.86,17.30,106.34,83.09,23.25,2026-04-04
47,Columbia,Ivy,,,25,8,71.8,58.7,13.06,,3.76,,9.69,7.13,16.82,103.62,80.97,22.65,2026-04-04
48,Richmond,A-10,,,26,8,72.1,59.5,12.65,,4.17,,9.63,7.19,16.82,109.11,85.53,23.58,2026-04-04
49,Kansas State,Big 12,,,19,18,69.9,67.5,2.38,,14.36,,10.39,6.35,16.74,104.78,82.81,21.97,2026-04-04
50,Arizona State,Big 12,,,24,11,66.2,60.5,5.71,,10.99,,4.39,12.32,16.70,97.42,75.22,22.20,2026-04-04
51,Miami (FL),ACC,,,18,15,70.5,65.6,4.94,,11.75,,9.69,7.01,16.69,103.40,81.77,21.62,2026-04-04
52,South Dakota State,Summit,,,27,7,75.9,61.6,14.35,,2.29,,10.35,6.30,16.65,107.63,84.36,23.27,2026-04-04
53,BYU,Big 12,,,26,12,70.6,64.4,6.16,,10.47,,9.63,6.99,16.62,101.24,79.63,21.61,2026-04-04
54,Indiana,Big Ten,,,18,14,71.4,70.2,1.22,,15.16,,11.24,5.13,16.38,108.20,87.03,21.17,2026-04-04
55,Princeton,Ivy,,23,26,4,72.4,60.7,11.63,,4.66,,10.12,6.17,16.30,109.52,86.71,22.81,2026-04-04
56,Texas A&M,SEC,,,14,13,64.7,67.6,-2.85,,17.60,,6.41,8.34,14.75,99.06,79.78,19.27,2026-04-04
57,Utah,Big 12,,,19,13,68.0,65.5,2.50,,12.83,,7.45,7.13,14.58,101.66,82.52,19.13,2026-04-04
58,Rhode Island,A-10,,,28,5,67.3,54.2,13.09,,1.80,,3.32,10.23,13.55,102.32,82.94,19.38,2026-04-04
59,North Dakota State,Summit,,,29,5,78.4,59.8,18.62,,-4.02,,10.40,2.80,13.20,107.54,88.76,18.78,2026-04-04
60,Gonzaga,WCC,,,24,10,74.1,65.0,9.15,,3.96,,10.18,2.93,13.11,104.38,86.46,17.92,2026-04-04
61,Seton Hall,Big East,,,19,13,67.5,64.2,3.34,,9.17,,6.88,5.64,12.52,100.54,84.17,16.37,2026-04-04
62,Georgia Tech,ACC,,,14,19,65.8,65.9,-0.12,,12.41,,5.09,7.20,12.29,94.48,78.52,15.96,2026-04-04
63,Harvard,Ivy,,,20,12,65.3,56.7,8.66,,3.56,,2.20,10.01,12.21,96.15,79.37,16.78,2026-04-04
