Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,High Point,Big South,8,1,0.889,,,,,,74.6,66.1,,3.96,-4.47,,,,,,
2,Longwood,Big South,6,3,0.667,,,,,,64.3,71.1,,-4.82,2.04,,,,,,
3,Winthrop,Big South,5,4,0.556,,,,,,63.4,73.3,,-15.6,-5.74,,,,,,
4,Radford,Big South,5,5,0.5,,,,,,58.3,62.9,,-13.36,-8.81,,,,,,
5,South Carolina Upstate,Big South,3,6,0.333,,,,,,49.9,75.9,,-20.7,5.3,,,,,,
6,UNC Asheville,Big South,2,5,0.286,,,,,,53.3,63.7,,-21.43,-11.09,,,,,,
7,Charleston Southern,Big South,2,6,0.25,,,,,,58.0,75.9,,-23.3,-5.45,,,,,,
8,Presbyterian,Big South,2,7,0.222,,,,,,49.1,75.7,,-33.88,-7.3,,,,,,
9,Gardner-Webb,Big South,2,8,0.2,,,,,,55.9,68.9,,-20.61,-7.61,,,,,,
