Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,20,3,0.87,,8,2,0.8,,72.6,63.0,,14.68,5.07,,,19.0,,,
2,Columbia,Ivy,17,6,0.739,,8,2,0.8,,71.7,60.5,,13.84,2.66,,,,,,
3,Brown,Ivy,15,7,0.682,,7,3,0.7,,62.8,57.1,,1.03,-4.59,,,,,,
4,Harvard,Ivy,14,9,0.609,,7,3,0.7,,66.2,57.7,,10.5,1.97,,,,,,
5,Pennsylvania,Ivy,14,9,0.609,,4,6,0.4,,61.4,59.7,,1.77,0.1,,,,,,
6,Cornell,Ivy,8,15,0.348,,3,7,0.3,,52.5,63.4,,-13.79,-2.92,,,,,,
7,Yale,Ivy,6,17,0.261,,2,8,0.2,,58.9,68.2,,-12.28,-3.02,,,,,,
8,Dartmouth,Ivy,10,13,0.435,,1,9,0.1,,51.7,62.9,,-16.03,-4.83,,,,,,
