Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Western Illinois,OVC,15,2,0.882,,7,1,0.875,,76.0,63.9,,4.08,-7.99,,,,,,
2,Southern Indiana,OVC,13,4,0.765,,7,1,0.875,,66.7,60.8,,3.54,-2.39,,,,,,
3,Lindenwood,OVC,13,6,0.684,,5,3,0.625,,71.5,64.5,,6.02,-1.04,,,,,,
4,Tennessee-Martin,OVC,9,8,0.529,,5,3,0.625,,62.1,66.7,,-6.7,-2.13,,,,,,
5,Morehead State,OVC,10,9,0.526,,5,3,0.625,,62.8,68.9,,-6.68,-0.57,,,,,,
6,Little Rock,OVC,9,9,0.5,,5,3,0.625,,55.4,61.6,,-5.76,0.49,,,,,,
7,Tennessee Tech,OVC,10,7,0.588,,3,5,0.375,,64.8,63.5,,-4.22,-5.55,,,,,,
8,Southeast Missouri State,OVC,6,11,0.353,,2,6,0.25,,62.7,71.3,,-12.0,-3.4,,,,,,
9,Tennessee State,OVC,3,14,0.176,,2,6,0.25,,59.5,77.1,,-19.22,-1.63,,,,,,
10,Eastern Illinois,OVC,3,16,0.158,,2,6,0.25,,57.9,72.3,,-13.98,0.34,,,,,,
11,Southern Illinois-Edwardsville,OVC,8,10,0.444,,1,7,0.125,,57.3,63.3,,-11.97,-6.04,,,,,,
