team,season,conference,roster_archetype,top_recruit_rank,avg_espn_grade,recruit_star_index,n_top10_recruits,n_top25_recruits,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,wins,losses,win_pct
Arizona,2021,Pac 12,Veteran / Development Success,,,,,,7.0,6.0,11.0,17.0,21.0,6.0,0.778
Arkansas,2021,SEC,Veteran / Development Success,,,,,,14.0,10.0,15.0,17.0,19.0,9.0,0.679
Baylor,2021,Big 12,Veteran / Development Success,,,,,,4.0,4.0,5.0,17.0,28.0,3.0,0.903
DePaul,2021,Big East,Veteran / Development Success,,,,,,19.0,17.0,,15.0,14.0,10.0,0.583
Florida Gulf Coast,2021,ASUN,Veteran / Development Success,,,,,,,24.0,24.0,2.0,26.0,3.0,0.897
Georgia,2021,SEC,Veteran / Development Success,,,,,,,12.0,10.0,9.0,21.0,7.0,0.75
Gonzaga,2021,WCC,Veteran / Development Success,,,,,,21.0,16.0,14.0,17.0,23.0,4.0,0.852
Indiana,2021,Big Ten,Veteran / Development Success,,,,,,16.0,9.0,12.0,17.0,21.0,6.0,0.778
Iowa State,2021,Big 12,Veteran / Development Success,,,,,,15.0,23.0,,3.0,17.0,11.0,0.607
Kentucky,2021,SEC,Veteran / Development Success,,,,,,11.0,9.0,18.0,17.0,18.0,9.0,0.667
Louisville,2021,ACC,Veteran / Development Success,,,,,,5.0,1.0,8.0,17.0,26.0,4.0,0.867
Maryland,2021,Big Ten,Veteran / Development Success,,,,,,12.0,7.0,7.0,17.0,26.0,3.0,0.897
Michigan,2021,Big Ten,Veteran / Development Success,,,,,,25.0,11.0,16.0,17.0,16.0,6.0,0.727
Michigan State,2021,Big Ten,Veteran / Development Success,,,,,,,23.0,,3.0,15.0,9.0,0.625
Mississippi State,2021,SEC,Veteran / Development Success,,,,,,6.0,6.0,,11.0,10.0,9.0,0.526
Missouri State,2021,MVC,Veteran / Development Success,,,,,,24.0,20.0,20.0,13.0,23.0,3.0,0.885
NC State,2021,ACC,Veteran / Development Success,,,,,,8.0,2.0,3.0,17.0,22.0,3.0,0.88
Northwestern,2021,Big Ten,Veteran / Development Success,,,,,,17.0,15.0,,13.0,16.0,9.0,0.64
Notre Dame,2021,ACC,Veteran / Development Success,,,,,,22.0,,,1.0,10.0,10.0,0.5
Ohio State,2021,Big Ten,Veteran / Development Success,,,,,,20.0,11.0,22.0,17.0,13.0,7.0,0.65
Oregon,2021,Pac 12,Veteran / Development Success,,,,,,10.0,8.0,23.0,17.0,15.0,9.0,0.625
Oregon State,2021,Pac 12,Veteran / Development Success,,,,,,18.0,15.0,,4.0,12.0,8.0,0.6
Rutgers,2021,Big Ten,Veteran / Development Success,,,,,,,19.0,21.0,4.0,14.0,5.0,0.737
South Carolina,2021,SEC,Veteran / Development Success,,,,,,1.0,1.0,6.0,17.0,26.0,5.0,0.839
South Dakota State,2021,Summit,Veteran / Development Success,,,,,,,21.0,25.0,9.0,21.0,4.0,0.84
South Florida,2021,AAC,Veteran / Development Success,,,,,,,12.0,19.0,14.0,19.0,4.0,0.826
Stanford,2021,Pac 12,Veteran / Development Success,,,,,,2.0,1.0,2.0,17.0,31.0,2.0,0.939
Syracuse,2021,ACC,Veteran / Development Success,,,,,,23.0,18.0,,9.0,15.0,9.0,0.625
Tennessee,2021,SEC,Veteran / Development Success,,,,,,,14.0,13.0,10.0,17.0,8.0,0.68
Texas,2021,Big 12,Veteran / Development Success,,,,,,,17.0,,7.0,21.0,10.0,0.677
Texas A&M,2021,SEC,Veteran / Development Success,,,,,,13.0,2.0,4.0,17.0,25.0,3.0,0.893
UCLA,2021,Pac 12,Veteran / Development Success,,,,,,9.0,5.0,9.0,17.0,17.0,6.0,0.739
UConn,2021,Big East,Veteran / Development Success,,,,,,3.0,1.0,1.0,17.0,28.0,2.0,0.933
Washington State,2021,Pac 12,Veteran / Development Success,,,,,,,25.0,,1.0,12.0,12.0,0.5
West Virginia,2021,Big 12,Veteran / Development Success,,,,,,,17.0,17.0,8.0,22.0,7.0,0.759
Alabama,2022,,Unranked / Low Recruit Visibility,75.0,91.0,0.0,0.0,0.0,,,,,20.0,14.0,0.588
Arizona,2022,Pac 12,Veteran / Development Success,71.0,91.0,0.0,0.0,0.0,22.0,4.0,19.0,19.0,21.0,8.0,0.724
Arizona State,2022,,Unranked / Low Recruit Visibility,33.0,94.0,1.0,0.0,0.0,,,,,12.0,15.0,0.444
Arkansas,2022,,Top Recruit Anchor,7.0,96.5,9.0,1.0,2.0,,,,,18.0,14.0,0.562
BYU,2022,WCC,Veteran / Development Success,74.0,91.0,0.0,0.0,0.0,,15.0,20.0,16.0,26.0,4.0,0.867
Baylor,2022,Big 12,Veteran / Development Success,,,,,,7.0,4.0,7.0,19.0,28.0,7.0,0.8
Boston College,2022,,Unranked / Low Recruit Visibility,95.0,91.0,0.0,0.0,0.0,,,,,21.0,12.0,0.636
Clemson,2022,,Unranked / Low Recruit Visibility,52.0,93.0,0.0,0.0,0.0,,,,,10.0,21.0,0.323
Colorado,2022,Pac 12,Veteran / Development Success,82.0,91.0,0.0,0.0,0.0,,22.0,,3.0,22.0,9.0,0.71
Davidson,2022,,Unranked / Low Recruit Visibility,96.0,91.0,0.0,0.0,0.0,,,,,18.0,15.0,0.545
Duke,2022,ACC,Veteran / Development Success,41.0,93.0,1.0,0.0,0.0,,15.0,,8.0,17.0,13.0,0.567
Duquesne,2022,,Unranked / Low Recruit Visibility,90.0,91.0,0.0,0.0,0.0,,,,,11.0,18.0,0.379
Florida,2022,SEC,Veteran / Development Success,,,,,,,15.0,,4.0,21.0,11.0,0.656
Florida Gulf Coast,2022,ASUN,Veteran / Development Success,,,,,,,22.0,23.0,10.0,30.0,3.0,0.909
Florida State,2022,ACC,Veteran / Development Success,31.0,93.5,2.0,0.0,0.0,16.0,17.0,,4.0,17.0,14.0,0.548
Georgia,2022,SEC,Veteran / Development Success,34.0,93.5,2.0,0.0,0.0,,13.0,,14.0,21.0,10.0,0.677
Georgia Tech,2022,ACC,Veteran / Development Success,,,,,,17.0,11.0,,14.0,21.0,11.0,0.656
Gonzaga,2022,,Unranked / Low Recruit Visibility,44.0,93.0,1.0,0.0,0.0,,,,,27.0,7.0,0.794
Green Bay,2022,,Unranked / Low Recruit Visibility,73.0,91.0,0.0,0.0,0.0,,,,,20.0,8.0,0.714
Illinois,2022,,Unranked / Low Recruit Visibility,53.0,92.0,0.0,0.0,0.0,,,,,7.0,20.0,0.259
Indiana,2022,Big Ten,Veteran / Development Success,,,,,,8.0,4.0,11.0,19.0,24.0,9.0,0.727
Iowa,2022,Big Ten,Veteran / Development Success,39.0,92.0,1.0,0.0,0.0,9.0,8.0,8.0,18.0,24.0,8.0,0.75
Iowa State,2022,Big 12,Veteran / Development Success,,,,,,12.0,6.0,10.0,19.0,28.0,7.0,0.8
Jackson State,2022,,Unranked / Low Recruit Visibility,70.0,91.0,0.0,0.0,0.0,,,,,23.0,7.0,0.767
Kansas State,2022,Big 12,Veteran / Development Success,54.0,92.0,0.0,0.0,0.0,,25.0,,3.0,20.0,13.0,0.606
Kentucky,2022,SEC,Veteran / Development Success,87.0,91.0,0.0,0.0,0.0,13.0,14.0,15.0,13.0,19.0,12.0,0.613
LSU,2022,SEC,Veteran / Development Success,51.0,92.0,0.0,0.0,0.0,,6.0,9.0,15.0,26.0,6.0,0.812
Louisville,2022,ACC,Balanced Recruit + Results,12.0,97.0,3.0,0.0,1.0,6.0,3.0,4.0,19.0,30.0,5.0,0.857
Marquette,2022,,Unranked / Low Recruit Visibility,58.0,91.0,0.0,0.0,0.0,,,,,23.0,11.0,0.676
Maryland,2022,Big Ten,Veteran / Development Success,22.0,95.0,3.0,0.0,1.0,4.0,2.0,13.0,19.0,23.0,9.0,0.719
Miami (FL),2022,,Unranked / Low Recruit Visibility,79.0,91.0,0.0,0.0,0.0,,,,,21.0,13.0,0.618
Michigan,2022,Big Ten,Veteran / Development Success,28.0,92.5,1.0,0.0,0.0,11.0,4.0,12.0,19.0,25.0,7.0,0.781
Michigan State,2022,,Unranked / Low Recruit Visibility,23.0,95.0,3.0,0.0,1.0,,,,,15.0,15.0,0.5
Middle Tennessee,2022,,Unranked / Low Recruit Visibility,89.0,91.0,0.0,0.0,0.0,,,,,27.0,8.0,0.771
Minnesota,2022,,Unranked / Low Recruit Visibility,98.0,91.0,0.0,0.0,0.0,,,,,15.0,18.0,0.455
Mississippi State,2022,,Unranked / Low Recruit Visibility,40.0,92.5,1.0,0.0,0.0,,,,,15.0,14.0,0.517
Missouri,2022,,Unranked / Low Recruit Visibility,47.0,93.0,1.0,0.0,0.0,,,,,18.0,13.0,0.581
NC State,2022,ACC,Veteran / Development Success,36.0,92.0,1.0,0.0,0.0,5.0,2.0,3.0,19.0,32.0,4.0,0.889
Nebraska,2022,,Unranked / Low Recruit Visibility,49.0,92.0,1.0,0.0,0.0,,,,,24.0,9.0,0.727
Northwestern,2022,,Unranked / Low Recruit Visibility,35.0,93.0,2.0,0.0,0.0,,,,,17.0,12.0,0.586
Notre Dame,2022,ACC,Top Recruit Anchor,8.0,96.0,9.0,1.0,2.0,,14.0,21.0,16.0,25.0,9.0,0.735
Ohio State,2022,Big Ten,Veteran / Development Success,,,,,,17.0,13.0,14.0,16.0,25.0,7.0,0.781
Oklahoma,2022,Big 12,Veteran / Development Success,66.0,91.0,0.0,0.0,0.0,,12.0,22.0,11.0,25.0,9.0,0.735
Oklahoma State,2022,,Unranked / Low Recruit Visibility,88.0,91.0,0.0,0.0,0.0,,,,,9.0,20.0,0.31
Ole Miss,2022,SEC,Veteran / Development Success,,,,,,,24.0,,1.0,23.0,9.0,0.719
Oregon,2022,Pac 12,Veteran / Development Success,29.0,94.0,1.0,0.0,0.0,10.0,9.0,,8.0,21.0,12.0,0.636
Oregon State,2022,Pac 12,Veteran / Development Success,25.0,93.33,4.0,0.0,1.0,14.0,15.0,,5.0,17.0,14.0,0.548
Princeton,2022,Ivy,Veteran / Development Success,,,,,,,24.0,25.0,2.0,25.0,5.0,0.833
Purdue,2022,,Unranked / Low Recruit Visibility,93.0,91.0,0.0,0.0,0.0,,,,,17.0,15.0,0.531
Rutgers,2022,,Unranked / Low Recruit Visibility,77.0,91.0,0.0,0.0,0.0,,,,,11.0,20.0,0.355
San Diego State,2022,,Unranked / Low Recruit Visibility,83.0,91.0,0.0,0.0,0.0,,,,,15.0,16.0,0.484
South Carolina,2022,SEC,Elite Recruiting Class,2.0,97.5,21.0,3.0,4.0,1.0,1.0,1.0,19.0,35.0,2.0,0.946
South Florida,2022,AAC,Veteran / Development Success,,,,,,21.0,13.0,,10.0,24.0,9.0,0.727
Stanford,2022,Pac 12,Balanced Recruit + Results,11.0,94.33,6.0,0.0,2.0,3.0,2.0,2.0,19.0,32.0,4.0,0.889
Syracuse,2022,,Unranked / Low Recruit Visibility,99.0,91.0,0.0,0.0,0.0,,,,,11.0,18.0,0.379
TCU,2022,,Unranked / Low Recruit Visibility,72.0,91.0,0.0,0.0,0.0,,,,,6.0,22.0,0.214
Temple,2022,,Unranked / Low Recruit Visibility,65.0,91.0,0.0,0.0,0.0,,,,,13.0,15.0,0.464
Tennessee,2022,SEC,Veteran / Development Success,43.0,92.33,2.0,0.0,0.0,15.0,4.0,18.0,19.0,25.0,9.0,0.735
Texas,2022,Big 12,Top Recruit Anchor,6.0,95.5,16.0,2.0,3.0,25.0,7.0,6.0,19.0,29.0,7.0,0.806
Texas A&M,2022,SEC,Veteran / Development Success,91.0,91.0,0.0,0.0,0.0,23.0,17.0,,9.0,14.0,15.0,0.483
Texas Tech,2022,,Unranked / Low Recruit Visibility,67.0,91.0,0.0,0.0,0.0,,,,,11.0,19.0,0.367
UCF,2022,AAC,Veteran / Development Success,84.0,91.0,0.0,0.0,0.0,,25.0,24.0,2.0,26.0,4.0,0.867
UCLA,2022,Pac 12,Veteran / Development Success,26.0,94.0,1.0,0.0,0.0,20.0,19.0,,3.0,18.0,14.0,0.562
UConn,2022,Big East,Elite Recruiting Class,1.0,96.5,16.0,2.0,3.0,2.0,2.0,5.0,19.0,30.0,6.0,0.833
UMass,2022,,Unranked / Low Recruit Visibility,97.0,91.0,0.0,0.0,0.0,,,,,26.0,7.0,0.788
UNC,2022,ACC,Top Recruit Anchor,9.0,95.5,15.0,1.0,4.0,,16.0,17.0,13.0,25.0,7.0,0.781
USC,2022,,Unranked / Low Recruit Visibility,21.0,94.5,4.0,0.0,1.0,,,,,12.0,16.0,0.429
Utah,2022,,Unranked / Low Recruit Visibility,42.0,93.0,1.0,0.0,0.0,,,,,21.0,12.0,0.636
Vanderbilt,2022,,Unranked / Low Recruit Visibility,57.0,91.0,0.0,0.0,0.0,,,,,16.0,19.0,0.457
Virginia Tech,2022,ACC,Veteran / Development Success,61.0,91.0,0.0,0.0,0.0,24.0,17.0,16.0,8.0,23.0,10.0,0.697
Wake Forest,2022,,Unranked / Low Recruit Visibility,60.0,91.0,0.0,0.0,0.0,,,,,16.0,17.0,0.485
Washington,2022,,Unranked / Low Recruit Visibility,76.0,91.0,0.0,0.0,0.0,,,,,7.0,16.0,0.304
West Virginia,2022,Big 12,Veteran / Development Success,59.0,91.0,0.0,0.0,0.0,19.0,22.0,,3.0,15.0,15.0,0.5
Xavier,2022,,Unranked / Low Recruit Visibility,46.0,93.0,1.0,0.0,0.0,,,,,9.0,21.0,0.3
Arizona,2023,Pac 12,Top Recruit Anchor,9.0,94.75,10.0,1.0,2.0,19.0,12.0,24.0,18.0,22.0,10.0,0.688
Arizona State,2023,,Unranked / Low Recruit Visibility,73.0,92.0,0.0,0.0,0.0,,,,,8.0,22.0,0.267
Arkansas,2023,SEC,Veteran / Development Success,,,,,,,17.0,,4.0,24.0,13.0,0.649
Auburn,2023,,Unranked / Low Recruit Visibility,50.0,94.0,1.0,0.0,0.0,,,,,16.0,15.0,0.516
Baylor,2023,Big 12,Balanced Recruit + Results,17.0,94.67,4.0,0.0,1.0,18.0,17.0,,10.0,20.0,13.0,0.606
Boston College,2023,,Unranked / Low Recruit Visibility,88.0,91.0,0.0,0.0,0.0,,,,,16.0,17.0,0.485
California,2023,,Unranked / Low Recruit Visibility,51.0,94.0,0.0,0.0,0.0,,,,,13.0,17.0,0.433
Clemson,2023,,High Expectations / Underperformed,15.0,97.0,3.0,0.0,1.0,,,,,19.0,16.0,0.543
Colorado,2023,Pac 12,Veteran / Development Success,,,,,,,20.0,20.0,7.0,26.0,9.0,0.743
Creighton,2023,Big East,Veteran / Development Success,,,,,,21.0,13.0,,9.0,22.0,9.0,0.71
DePaul,2023,,Unranked / Low Recruit Visibility,95.0,91.0,0.0,0.0,0.0,,,,,16.0,17.0,0.485
Duke,2023,ACC,Balanced Recruit + Results,16.0,95.5,4.0,0.0,1.0,,9.0,13.0,10.0,26.0,7.0,0.788
East Carolina,2023,,Unranked / Low Recruit Visibility,70.0,93.0,0.0,0.0,0.0,,,,,23.0,10.0,0.697
Florida State,2023,ACC,Balanced Recruit + Results,14.0,97.0,3.0,0.0,1.0,,19.0,,5.0,23.0,10.0,0.697
Georgetown,2023,,Unranked / Low Recruit Visibility,75.0,92.0,0.0,0.0,0.0,,,,,14.0,17.0,0.452
Georgia,2023,,Unranked / Low Recruit Visibility,47.0,94.0,1.0,0.0,0.0,,,,,22.0,12.0,0.647
Georgia Tech,2023,,Unranked / Low Recruit Visibility,24.0,94.5,3.0,0.0,1.0,,,,,13.0,17.0,0.433
Gonzaga,2023,WCC,Veteran / Development Success,,,,,,,15.0,16.0,15.0,28.0,5.0,0.848
Harvard,2023,,Unranked / Low Recruit Visibility,86.0,91.0,0.0,0.0,0.0,,,,,20.0,12.0,0.625
Illinois,2023,Big Ten,Veteran / Development Success,65.0,93.0,0.0,0.0,0.0,,21.0,,4.0,22.0,10.0,0.688
Indiana,2023,Big Ten,Veteran / Development Success,68.0,93.0,0.0,0.0,0.0,11.0,2.0,3.0,18.0,28.0,4.0,0.875
Iowa,2023,Big Ten,Veteran / Development Success,45.0,92.33,1.0,0.0,0.0,4.0,4.0,2.0,18.0,31.0,7.0,0.816
Iowa State,2023,Big 12,Veteran / Development Success,,,,,,8.0,5.0,,17.0,22.0,10.0,0.688
Kansas,2023,Big 12,Veteran / Development Success,,,,,,,20.0,,5.0,25.0,11.0,0.694
Kansas State,2023,Big 12,Veteran / Development Success,,,,,,,24.0,,2.0,19.0,17.0,0.528
Kentucky,2023,,Unranked / Low Recruit Visibility,69.0,92.0,0.0,0.0,0.0,,,,,12.0,19.0,0.387
LSU,2023,SEC,Veteran / Development Success,26.0,94.5,1.0,0.0,0.0,16.0,3.0,9.0,18.0,34.0,2.0,0.944
Louisville,2023,ACC,Veteran / Development Success,35.0,94.0,2.0,0.0,0.0,7.0,6.0,,4.0,26.0,12.0,0.684
Marquette,2023,Big East,Veteran / Development Success,77.0,92.0,0.0,0.0,0.0,,24.0,,1.0,21.0,11.0,0.656
Maryland,2023,Big Ten,Veteran / Development Success,42.0,94.0,1.0,0.0,0.0,17.0,5.0,6.0,18.0,28.0,7.0,0.8
Miami (FL),2023,,Unranked / Low Recruit Visibility,25.0,95.0,4.0,0.0,1.0,,,,,22.0,13.0,0.629
Michigan,2023,Big Ten,Veteran / Development Success,48.0,92.5,1.0,0.0,0.0,25.0,12.0,18.0,18.0,23.0,10.0,0.697
Michigan State,2023,,Unranked / Low Recruit Visibility,80.0,92.0,0.0,0.0,0.0,,,,,16.0,14.0,0.533
Middle Tennessee,2023,CUSA,Veteran / Development Success,,,,,,,21.0,25.0,5.0,28.0,5.0,0.848
Minnesota,2023,,Unranked / Low Recruit Visibility,28.0,94.67,2.0,0.0,0.0,,,,,11.0,19.0,0.367
Mississippi State,2023,,Unranked / Low Recruit Visibility,84.0,91.0,0.0,0.0,0.0,,,,,22.0,11.0,0.667
Missouri,2023,,Unranked / Low Recruit Visibility,74.0,92.0,0.0,0.0,0.0,,,,,18.0,14.0,0.562
Montana,2023,,Unranked / Low Recruit Visibility,100.0,91.0,0.0,0.0,0.0,,,,,14.0,16.0,0.467
NC State,2023,ACC,Veteran / Development Success,,,,,,10.0,6.0,,14.0,20.0,12.0,0.625
Nebraska,2023,Big Ten,Veteran / Development Success,32.0,95.0,1.0,0.0,0.0,22.0,22.0,,2.0,18.0,15.0,0.545
Northwestern,2023,,Unranked / Low Recruit Visibility,91.0,91.0,0.0,0.0,0.0,,,,,9.0,21.0,0.3
Notre Dame,2023,ACC,Veteran / Development Success,29.0,95.0,1.0,0.0,0.0,9.0,4.0,11.0,18.0,27.0,6.0,0.818
Ohio State,2023,Big Ten,Veteran / Development Success,23.0,95.0,3.0,0.0,1.0,14.0,2.0,12.0,18.0,28.0,8.0,0.778
