team,state
Alabama,Alabama
Baylor,Texas
Duke,North Carolina
Georgia,Georgia
Illinois,Illinois
Iowa,Iowa
Iowa State,Iowa
Kentucky,Kentucky
LSU,Louisiana
Louisville,Kentucky
Maryland,Maryland
Michigan,Michigan
Michigan State,Michigan
NC State,North Carolina
Nebraska,Nebraska
Notre Dame,Indiana
Ohio State,Ohio
Oklahoma,Oklahoma
Oklahoma State,Oklahoma
Ole Miss,Mississippi
Princeton,New Jersey
Richmond,Virginia
South Carolina,South Carolina
TCU,Texas
Tennessee,Tennessee
Texas,Texas
Texas Tech,Texas
UCLA,California
UConn,Connecticut
UNC,North Carolina
USC,California
Vanderbilt,Tennessee
Washington,Washington
West Virginia,West Virginia
